"id_plot","id_frag","fragm_std","speccomb"
1,1,1.2903940155,"qrob_qrub"
2,2,0.3181925416,"fsyl"
3,2,0.0834596023,"fsyl"
4,3,-0.2811850879,"fsyl_qrub"
5,3,-0.0355392455,"all"
6,4,-0.9440768215,"fsyl_qrub"
7,4,-1.2193791281,"all"
8,4,-1.0527943733,"fsyl_qrub"
9,4,-1.3571694654,"fsyl_qrob"
10,4,-0.8777739156,"fsyl"
11,4,-1.5003126447,"all"
12,4,-0.9249074747,"fsyl_qrub"
13,4,-1.6478220609,"fsyl_qrob"
14,4,-1.6851656779,"fsyl"
15,4,-1.323666191,"fsyl_qrub"
16,4,-1.690453372,"qrub"
17,4,-0.1753963605,"fsyl_qrob"
18,4,-0.0913248742,"qrob"
19,4,-1.1029077399,"qrob"
20,5,2.0171409218,"qrob"
21,6,1.5830038152,"fsyl"
22,7,0.3217346747,"fsyl"
23,7,-0.4043055925,"fsyl_qrob"
24,7,0.2658076157,"all"
25,8,1.0401636152,"qrob_qrub"
26,9,1.8002486286,"fsyl"
27,10,2.4210075999,"fsyl_qrob"
28,11,1.4805767796,"fsyl_qrob"
29,11,1.2685788762,"all"
30,12,0.7849319666,"fsyl_qrob"
31,13,0.9725954745,"qrob"
32,14,0.161166944,"qrob_qrub"
33,14,0.410014776,"qrub"
34,14,0.1491017366,"qrob_qrub"
35,14,-0.1287196877,"qrob"
36,15,0.1137888378,"qrub"
37,15,-0.6158961202,"qrub"
38,16,0.1605273805,"all"
39,16,-0.7209652107,"fsyl_qrub"
40,16,-0.6428681968,"qrub"
41,16,-0.5033137554,"qrub"
42,16,-0.2833694716,"fsyl"
43,16,0.2762439538,"qrob"
44,16,-0.3638687063,"fsyl_qrob"
45,15,0.5180686374,"qrub"
46,17,0.7428662051,"all"
47,17,0.7086834068,"qrob"
48,17,1.110842543,"qrob"
49,18,0.1911270439,"qrob_qrub"
50,18,0.768775019,"qrob_qrub"
51,18,0.3903017229,"qrob_qrub"
52,19,-0.7864135588,"qrub"
53,19,-0.9897496013,"qrob_qrub"
