"plot","Black Woodpecker - Dryocopus martius","Blackbird - Turdus merula","Blackcap - Sylvia atricapilla","Blue Tit - Cyanistes caeruleus","Carrion Crow - Corvus corone","Chaffinch - Fringilla coelebs","Coal Tit - Periparus ater","Collared Dove - Streptopelia decaocto","Common Buzzard - Buteo buteo","Common Chiffchaff - Phylloscopus collybita","Common Cuckoo - Cuculus canorus","Common Starling - Sturnus vulgaris","Common Whitethroat - Sylvia communis","Dunnock - Prunella modularis","Eurasian Nuthatch - Sitta europaea","G S Woodpecker - Dendrocopos major","Garden Warbler - Sylvia borin","Goldcrest - Regulus regulus","Great Tit - Parus major","Green Woodpecker - Picus viridis","Greenfinch - Chloris chloris","Grey Heron - Ardea cinerea","Jay - Garrulus glandarius","L S Woodpecker - Dryobates minor","Long-tailed Tit - Aegithalos caudatus","M S Woodpecker - Dendrocoptes medius","Magpie - Pica pica","Mistle Thrush - Turdus viscivorus","Northern Goshawk - Accipiter gentilis","Pheasant - Phasianus colchicus","Robin - Erithacus rubecula","S-t Treecreeper - Certhia brachydactyla","Song Thrush - Turdus philomelos","Sparrowhawk - Accipiter nisus","Spotted Flycatcher - Muscicapa striata","Stock Dove - Columba oenas","Tawny Owl - Strix aluco","Western Jackdaw - Coloeus monedula","Wood Pigeon - Columba palumbus","Wren - Troglodytes troglodytes"
1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0
2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
