"Plot","Cylindroiulus_punctatus","Glomeris_marginata","Julus_scandinavius","Melogona_gallica","Polydesmus_angustus","Polydesmus_coriaceus","Tachypodoiulus_niger","Polydesmus_denticulatus","Glomeris_intermedia","Leptoiulus_kervillei","Proteroiulus_fuscus","Brachydesmus_superus","Polydesmus_inconstans","Chordeuma_sylvestre","Allajulus_nitidus","Brachyiulus_pusillus","Craspedosoma_rawlinsi","Cylindroiulus_caeruleocinctus","Blaniulus_guttulatus"
"1",3,6,7,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,13,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"11",0,19,8,0,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0
"12",1,18,3,1,12,0,2,2,1,0,0,0,0,0,0,0,0,0,0
"13",1,6,8,0,10,0,1,17,0,1,0,0,0,0,0,0,0,0,0
"14",1,3,6,1,4,0,2,7,0,0,1,0,0,0,0,0,0,0,0
"15",1,7,11,0,5,3,3,14,0,0,0,3,0,0,0,0,0,0,0
"16",1,30,10,0,4,0,2,34,0,1,0,0,0,0,0,0,0,0,0
"17",2,40,14,1,1,8,2,1,16,0,0,0,1,0,0,0,0,0,0
"18",2,22,1,0,0,2,4,2,0,1,0,0,18,2,0,0,0,0,0
"19",5,30,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,0
"2",1,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2,9,2,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0
"21",3,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0
"22",2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,9,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"24",1,2,2,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0
"25",3,1,6,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
"26",3,0,1,0,3,1,6,0,0,1,0,0,1,0,3,1,2,0,0
"27",5,0,12,0,0,5,7,1,0,0,2,0,0,2,9,0,0,0,0
"28",5,0,0,2,0,12,16,0,0,1,0,0,0,0,0,0,0,0,0
"29",3,5,1,2,8,11,4,0,0,0,1,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",3,21,0,2,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0
"31",7,27,6,1,22,4,0,3,0,2,0,0,0,0,2,0,0,0,0
"32",1,5,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
"33",2,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"34",1,25,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"35",0,2,1,0,1,1,3,4,7,0,0,0,1,0,0,0,0,0,0
"36",1,12,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"37",1,5,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,2,2,2,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0
"40",0,0,2,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0
"41",3,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43",3,58,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1,60,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"46",0,1,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
"47",2,5,3,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,2
"48",0,1,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",1,26,0,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0
"5",2,1,2,0,3,1,2,1,0,0,1,0,5,0,0,0,0,0,0
"50",2,6,1,1,0,0,10,2,0,0,1,0,0,4,0,0,4,0,0
"51",1,10,2,0,1,1,5,8,0,0,0,0,0,1,0,0,1,0,0
"52",0,0,3,2,149,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"53",2,0,1,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0
"6",2,0,0,0,8,0,0,7,0,0,0,0,0,1,0,0,0,0,0
"7",0,0,3,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"8",1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",1,32,2,0,7,0,1,5,6,0,0,0,0,0,0,0,0,0,0
