"id_plot","bsp","casp","cfla","ealb","equi","psp","satr","sbas","srob","sruf","sspc","tdod","teke","acur","alib","cdiv","cque","isp","mrob","nalb","nant","nque","ntri","trem","pmae","shem","stit","aner","aste","hann","mfag","btho","pfag","mpus","nnum","pmes","clut","cosp","ssam","arhy","aspc","tdec","oava","ioeh","clon","cesp","ppyg","cdis","esub","oque","cibi","ccur"
1,54,3,1,8,4,167,1,1,6,10,3,1,18,3,30,1,2,4,2,69,8,133,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,7,113,100,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,7,552,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,8,2,2,522,130,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,0,0,5,1,112,0,1,9,0,0,0,23,6,242,2,0,19,0,20,87,33,30,3,13,5,4,101,20,6,2,0,2,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,1,0,4,4,2,157,30,0,4,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17,0,0,1,4,78,3,3,3,4,0,0,11,0,76,0,0,0,1,10,13,79,2,0,10,1,6,139,0,5,14,0,1,4,21,0,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,123,185,16,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,3,0,2,6,70,2,2,2,5,0,0,11,0,0,0,0,0,0,14,160,97,3,0,10,7,6,26,472,47,4,2,0,3,14,1,2,0,2,18,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,35,110,8,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
