"Plot","Agroeca_brunnea","Ceratinella_scabrosa","Clubiona_comta","Diplocephalus_picinus","Diplostyla_concolor","Enoplopgnatha_thoracica","Eratigena_picta","Erigone_dentipalpis","Ero_furcata","Histopona_torpida","Leptorhoptrum_robustum","Linyphia_hortensis","Macrargus_rufus","Microneta_viaria","Monocephalus_fuscipes","Neriene_clathrata","Ozyptila_praticola","Ozyptila_trux","Palliduphantes_pallidus","Piratula_hygrophila","Tenuiphantes_flavipes","Tenuiphantes_zimmermanni","Walckenaeria_acuminata","Walckenaeria_cucullata","Dysdera_erythrinaÿ","Euryopis_flavomaculata","Hahnia_pusilla","Haplodrassus_silvestris","Pardosa_amentata","Pardosa_saltans","Agyneta_ramosa","Alopecosa_pulverulenta","Porrhomma_egeria","Saaristoa_abnormis","Trachyzelotes_pedestris","Walckenaeria_nudipalpis","Anyphaena_accentuata","Clubiona_terrestris","Inermocoelotes_inermis","Trochosa_terricola","Ballus_chalybeius","Robertus_lividus","Neriene_montana","Zora_Spinimana","Metellina_segmentata","Micrargus_herbigradus","xysticus_lanio","Centromerus_brevipalpus","Gongylidium_rufipes","Pachygnatha_listeriÿ","Bathyphantes_gracilis","Gongylidiellum_latebricola","Oedothorax_fuscus","Walckenaeria_atrotibialis","Iberina_montana","Tenuiphantes_tenuis","Zelotes_apricorum","Erigone_atra","Oedothorax_retusus","Pachygnatha_degeeri","Philodromus_rufus","Walckenaeria_obtusa","Tiso_vagans","Gonatium_rubellum","Cicurina_cicur","Pardosa_proxima","Coelotes_terrestris","Mermessus_trilobata","Walckenaeria_furcillata","Phrurolithus_festivus","Maso_sundevalli","Philodromus_disparÿ","Walckenaeria_dysderoides","Lathys_humilis","Saloca_diceros","Centromerus_sylvaticus","Philodromus_aureolus","Tenuiphantes_cristatus","Pardosa_pullata","Pocadicnemis_pumila","Nigma_flavescens","Apostenus_fuscus","Porrhomma_pygmaeum","Metellina_mengei","Hahnia_helveola","Trochosa_ruricola","Neon_reticulatus","Walckenaeria_mitrata"
1,2,1,2,36,5,1,3,1,1,3,1,2,4,3,1,2,10,14,1,27,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,0,0,1,5,0,6,0,0,1,6,0,2,0,0,0,18,4,0,0,0,1,8,12,11,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,2,2,2,2,0,0,3,0,0,0,6,0,0,1,8,0,68,5,0,0,0,3,1,25,9,9,12,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0,1,0,0,0,0,0,2,0,0,4,3,0,1,0,0,1,16,8,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,8,0,0,4,0,0,4,3,0,0,1,1,0,57,2,0,2,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,2,0,1,3,0,0,3,0,0,4,8,0,0,4,2,0,12,4,0,1,1,0,0,6,15,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,11,2,0,2,0,0,4,0,1,0,3,0,0,0,0,2,97,10,0,0,0,1,4,7,14,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,1,0,0,1,0,1,8,0,0,4,1,0,0,0,0,4,16,0,4,0,0,0,0,4,8,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,1,1,0,1,0,0,4,0,0,6,2,0,0,0,0,0,125,1,0,0,0,0,2,3,9,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,1,0,4,22,1,0,0,0,0,1,6,6,0,19,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,8,1,0,1,0,0,2,0,0,4,4,0,0,0,0,1,18,7,0,0,2,0,0,0,9,1,18,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,0,0,1,0,0,2,1,0,32,0,0,1,3,0,0,0,0,0,33,1,0,0,0,0,0,0,18,0,6,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1,0,6,0,0,6,0,0,15,0,0,1,9,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
